Date/Hour,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,__/th>,__th>,__/th>
20240301,107.39,95.3,87.89,0,0,0,111.4,0,111.67,109.57,0,99.15,0,95.91,95.91,98.25,100.21,128.34,109.57,109.83,109.83,110.35,112.19,112.19,128.34,0,81.93
20240302,138.5,99.48,95.38,91.24,91.24,134.65,99.48,135.15,135.71,104.14,138.5,95.88,95.22,95.88,99.48,100.55,250.6,136.96,168.45,225.05,225.05,168.45,207.57,247.14,250.6,91.24,143.65
20240303,321.47,100.21,82.66,82.66,82.66,99.15,165.83,169.56,95.99,107.39,100.21,104.76,95.93,95.93,95.68,95.7,250.09,137.03,169.72,170.95,171.26,175.61,175.61,170.79,321.47,82.66,140.8
20240304,168.3,86.82,80.97,80.97,80.97,81.81,166.81,309.13,173.82,175.21,167.28,167.28,146.22,150.25,149.63,167,167,169.11,167.17,313.62,169.85,255.37,137.23,107.12,313.62,80.97,163.17
20240305,100.13,94.8,94.8,94.8,94.8,94.8,105.85,107.38,226.38,230.01,226.38,230.01,146.27,170.63,162.57,167,162.57,153.8,153.56,148.78,153.56,175.87,131.23,131.19,230.01,94.8,150.85
20240306,164.31,164.31,164.31,164.31,164.31,164.31,164.31,164.31,171.11,172.44,165.47,165.47,163.86,163.86,163.86,163.86,163.86,163.86,164.31,164.31,164.31,164.31,164.31,164.31,172.44,163.86,164.96
20240307,107.31,94.48,90.83,90.83,90.83,95,108.17,108.69,170.95,179.82,134.97,165.47,154.48,159.69,154.67,145.83,166.64,166.64,166.82,145.07,148.6,139.29,131.2,131.94,179.82,90.83,136.38
20240308,108.22,99.07,94.56,90.83,94.55,95.86,109.48,139.5,167.4,171.52,168.51,158.96,152.91,159.69,159.69,159.69,153.07,167.22,150.75,145.67,142.91,108.69,109.48,120.38,171.52,90.83,134.9
20240309,169.62,110.46,110.46,109.16,110.73,110.73,157.36,158.88,110.73,110.46,100.55,-1,-50,-50,95.43,95.96,107.57,154.25,154.27,156.13,159.46,159.97,167.01,166.69,169.62,-50,117.64
20240310,156.87,154.76,110.09,142.5,110.35,170.09,170.09,170.09,110.09,91.64,91.77,91.28,91.29,6.93,82.66,91.5,93.74,161.39,166.08,255.59,255.59,166.38,166.38,166.38,255.59,6.93,142.49
20240311,170.75,132.75,168.63,136.34,84.24,84.24,137.61,134.77,163.58,177.79,168.28,153.78,153.48,153.69,153.74,162.68,153.74,167.62,167.62,167.62,167.62,167.62,167.62,167.47,177.79,84.24,153.4
20240312,167.14,162.59,107.12,145.16,145.16,145.16,149.52,169.25,169.05,169.05,172.8,168.38,160.21,160.3,159.57,157.72,158.89,159.79,160.21,160.21,154.56,152.75,158.79,158.81,172.8,107.12,157.4
20240313,170.72,107.91,107.91,108.17,108.17,108.69,152.91,156.49,160.34,172.97,165.07,167.95,0,156.49,156.49,156.49,156.81,171.96,170.1,170.1,170.1,151.35,151.33,165.74,172.97,0,145.89
20240314,128.74,117.07,107.31,103.63,107.4,129.19,130.62,170.72,171.96,168.3,159.69,146.76,141.76,141.76,141.73,141.73,140.55,164.6,169.17,329.89,169.92,169.14,166.26,166.26,329.89,103.63,156.42
20240315,165.97,164.73,162.57,160.33,160.09,143.38,163.62,162.52,162.35,150.18,146.39,148.62,99.07,97.01,100.77,131.45,142.54,164.03,168.1,169.84,281.19,169.84,166.18,154.94,281.19,97.01,158.79
20240316,165.98,155.71,155.71,144.15,169.34,169.34,169.34,154.82,117.62,106.25,99.48,0,100.55,0,104.91,99.48,250.03,133.44,167.94,170.92,170.44,169.16,169.16,169.16,250.03,0,142.35
20240317,141.97,106.51,95.97,250.03,253.57,128.43,144.2,137.97,99.15,144,93.07,105.37,116.59,91.76,100.21,91.41,91.41,144.2,133.04,133.54,160.68,160.64,160.6,160.53,253.57,91.41,135.4
20240318,124.98,146.57,86.3,86.3,86.3,94.53,109.22,144.56,146.19,170.03,169.72,154.46,146.17,154.43,146.17,153.26,162.51,146.17,168.89,168.89,168.89,167.64,165.97,165.97,170.03,86.3,143.87
20240319,124.24,158.67,101.77,101.77,101.77,158.67,167.09,167.09,165.22,166.91,154.48,154.48,145.91,0,0,153.28,145.92,146.58,148.67,148.93,147.72,147.03,151.27,151.28,167.09,0,136.29
20240320,124.24,107.31,103.39,103.32,103.63,118.48,125.91,129.18,0,0,-19,-77.94,-77.94,-77.94,-76.38,0,125.62,125.62,146.98,147.59,147.64,147.69,152.99,153,153,-77.94,81.44
20240321,127.41,108.69,103.53,103.34,107.31,127.59,127.59,255.56,148.94,146.86,151.23,150.46,126.25,147.14,149.42,149.29,149.29,145.9,168.52,171.02,174.63,169.77,172.27,166.38,255.56,103.34,149.43
20240322,168.26,162.35,121.65,121.65,153.45,153.6,156.03,156.92,155.27,155.08,0,-19,-77.94,-25.98,0,153.27,153.28,153.28,153.28,153.4,153.4,153.46,153.57,160.11,168.26,-77.94,122.88
20240323,158.33,156.67,124.91,120.02,139.13,156.68,156.69,156.69,157.19,105.68,126.62,127.32,100.55,105.24,104.91,95.27,251.38,104.76,169.81,157.4,169.81,169.81,169.81,169.81,251.38,95.27,145.02
20240324,158.08,158.08,133.94,100.21,104.62,125.92,135.54,122.6,95.83,100.21,100.21,96.49,95.77,95.77,95.42,91.38,95.47,104.78,136.79,134.01,134.27,135.66,135.69,134.14,158.08,91.38,118.02
20240325,143.15,105.24,105.24,105.24,105.24,105.24,156.31,165.27,167.94,208.14,167.94,156.2,150.87,162.11,162.33,162.39,156.2,156.2,162.11,156.21,156.15,153.07,153.02,152.89,208.14,105.24,150.23
20240326,166.45,250.73,249.71,143.35,143.35,143.35,143.35,153.24,159.51,203.29,159.51,154.11,119.5,153.92,154.1,154.1,154.11,159.51,165.9,165.9,159.51,169.72,169.72,169.72,250.73,119.5,165.25
20240327,149.86,143.75,135.94,157.02,157.02,143.75,151.82,151.81,155.71,171.91,159.69,159.29,0,0,160.09,168.71,171.24,164.81,171.48,171.48,171.48,171.48,151.77,153.69,171.91,0,147.92
20240328,143.55,119.97,119.97,119.97,119.97,119.97,155.96,153.23,155.96,167.81,158.88,158.88,155.76,158.88,159.69,171.06,168.38,168.38,168.56,168.56,155.05,150.35,151.71,153.22,171.06,119.97,152.23
20240329,146.02,120.07,120.07,157.53,157.7,120.07,156.03,156.67,156.38,0,-77.94,-77.94,-77.94,-77.94,-19,0,153.27,148.37,153.28,153.28,157.16,157.03,155.96,156.04,157.7,-77.94,99.34
20240330,165.59,164.43,255.56,135.09,136.92,156.46,165.59,126.58,112.28,112.28,0,-77.94,-77.94,-38,0,100.55,102.33,135.99,169.78,169.78,168.72,168.9,168.9,168.9,255.56,-77.94,117.54
20240331,156.05,156.05,156.05,156.25,156.25,156.25,175.79,175.79,156.05,155.65,155.65,155.65,155.65,142.19,142.19,155.65,155.65,155.65,171.57,170.06,172.53,176.1,171.34,172.81,176.1,142.19,161.12
20240401,159.31,95.81,159.82,154.16,154.17,160.41,123.99,153.65,158.52,157.81,117.4,0,-79.32,-79.32,-1.4,110.39,120.06,152.36,202.82,156.01,156.01,154.91,154.98,154.98,202.82,-79.32,121.45
20240402,144.71,144.71,144.71,144.71,144.71,144.71,159.73,163.03,159.54,162.75,154.79,144.15,144.15,144.34,156.07,159.15,159.15,159.15,147.63,147.14,159.54,159.54,159.54,141.96,163.03,141.96,152.25
20240403,144.25,158.23,144.25,144.25,144.44,144.44,144.25,158.23,158.04,162.45,163.37,157.66,157.66,157.66,157.66,160.71,157.66,157.66,158.04,158.04,158.04,158.04,158.04,158.04,163.37,144.25,155.34
20240404,153.98,153.76,144.31,144.31,144.31,153.98,153.98,157.28,157.09,162.45,157.09,156.71,156.71,156.71,156.71,162.45,156.71,156.71,157.09,162.45,157.09,157.09,157.09,157.09,162.45,144.31,155.76
20240405,157.01,157.01,103.65,95.35,102.33,104.4,157.31,157.31,156.96,159.4,151.92,151.38,123.49,150.26,150.26,155.9,155.9,154.51,156.28,156.47,156.54,156.54,156.68,156.28,159.4,95.35,146.18
20240406,144.19,144.19,158.75,144.19,144.19,144.19,144.19,144.19,144,143.82,143.45,143.45,143.45,143.45,143.45,143.45,143.45,159.22,160.45,161.53,161.53,144,161.25,161.39,161.53,143.45,149.12
20240407,144.46,144.46,144.46,144.46,144.46,144.46,159.27,144.46,144.09,143.72,130.96,130.78,130.78,143.34,143.53,143.53,143.53,161.52,162.56,143.9,163.68,163.24,160.76,144.09,163.68,130.78,147.4
20240408,152.16,157.62,153.27,86.38,151.89,152.35,157.91,159.38,162.45,161.05,158.2,157.21,153.57,157.58,157.58,158.15,158.86,162.45,158.5,137.16,141.61,132.51,129.76,129.76,162.45,86.38,149.65
20240409,101.22,127.4,125.4,124.66,87.05,125.52,126.78,131.85,144.51,144.45,136.64,133.59,113.17,129.76,133.59,133.59,133.59,150.87,151.9,155.58,136.88,131.6,129.76,129.76,155.58,87.05,131.49
20240410,117.35,102.4,126.01,124.27,124.47,157.44,157.44,157.44,110.38,0,150.28,0,0,143.15,115.93,137.44,109.98,212.95,206.64,156.87,156.88,156.65,156.65,142.26,212.95,0,130.99
20240411,102.01,96.31,86.93,85.92,86.93,96.31,102.32,113.53,158.09,164.2,137.28,141.68,117.79,144.41,117.79,143.55,117.79,151.9,153.93,154.32,154.32,153,213.13,157.57,213.13,85.92,133.34
20240412,202.09,150.99,87.57,87.34,87.57,95.88,145.92,101.85,137.41,148.26,142.3,142.3,119.09,119.09,119.09,119.09,116.23,97.41,98.42,127.01,99.18,99.44,156.86,157.95,202.09,87.34,123.16
20240413,154.79,92.86,151.93,150.28,86.9,100.94,101.13,92.86,96.25,98.07,98.09,0,96.23,95.49,95.65,96.38,97.68,97.82,127.12,153.96,154.02,153.55,154.52,153.7,154.79,0,115.21
20240414,158.4,94.96,86.66,86.65,86.68,100.28,99.37,94.77,95.19,98.75,97.48,97.23,94.12,94.57,95.51,118.2,118.2,139.73,119,141.75,139.71,119.84,119.08,124.7,158.4,86.65,110.89
20240415,98.68,92.47,85.9,85.65,85.9,85.9,92.5,113.47,155.27,188.14,188.25,154.15,137.15,143.08,146.89,146.73,150.96,192.48,200.64,321.33,202.95,198.36,206.11,193.35,321.33,85.65,158.47
20240416,200.55,152.25,152.97,151.99,99.29,101.47,115.89,152.27,152.07,152.25,142.99,142.75,0,137.15,137.28,141.79,141.55,137.12,138.79,155.96,154.5,154.5,154.5,154.33,200.55,0,140.11
20240417,116.28,116.28,111.46,103.31,109.1,111.58,111.46,143.54,143.61,144.31,142.71,133.41,114.46,128.88,133.41,133.41,129.77,132.9,139.01,147.28,147.4,145.84,143.61,143.61,147.4,103.31,130.7
20240418,116.23,95.91,95.64,95.83,132.03,116.28,116.18,113.47,146.69,135.68,135.68,0,-0.11,0,135.51,135.51,136.29,138.47,140.08,142.61,146.71,155.12,155.4,130.45,155.4,-0.11,116.89
20240419,116.23,96.19,125.43,85.93,126.07,123.44,101.47,113.62,122.65,113.59,97.3,-39.66,-51.27,96.88,97.28,102.48,116.93,129.68,120.65,138.57,138.54,138.48,117.84,121.37,138.57,-51.27,105.93
20240420,120.95,93.46,92.38,92.86,130.92,130.92,130.92,130.92,130.92,130.92,131.11,130.92,130.92,130.92,160.7,160.7,160.7,156.58,158.23,162.63,158.5,158.5,158.5,119.26,162.63,92.38,137.25
20240421,131.15,131.15,131.33,131.33,131.33,131.33,131.33,131.33,131.33,131.15,131.15,130.96,130.96,130.96,130.96,130.96,130.96,144.35,144.35,144.53,144.53,127.99,125.6,117.88,144.53,117.88,132.62
20240422,131.48,131.29,131.1,131.29,131.1,131.1,131.1,131.1,146.78,145.37,145.25,140.31,130.73,138.58,141.54,142.25,142.31,142.78,156.03,156.23,156.23,155.32,155.32,142.12,156.23,130.73,141.72
20240423,159.63,131.48,131.48,131.48,131.48,131.48,141.65,141.81,188.25,142.15,133.68,134.53,130.92,133.68,136.09,141.62,146.73,154.64,160.42,158.55,157.47,156.57,156.57,156.29,188.25,130.92,145.91
20240424,116.44,116.08,113.42,113.42,113.42,115.29,139.87,139.98,150.91,150.21,158.95,0,0,0,0,0,135.6,142.92,145.83,149.7,146.55,155.56,159.03,155.28,159.03,0,113.14
20240425,141.9,141.9,141.87,116.33,141.88,141.91,151.19,141.91,153.56,142.29,0,-79.32,-79.32,-2,131.71,131.71,130.07,135.85,156.64,157.05,157.19,156.36,141.9,141.9,157.19,-79.32,117.46
20240426,155.67,118.84,115.89,113.96,113.96,116.18,142.42,142.4,142.77,143.46,143.02,142.94,135.42,142.58,142.58,136.02,154.54,154.54,156.57,156.65,156.65,156.6,156.6,156.32,156.65,113.96,142.63
20240427,145.3,145.16,145.22,116.87,116.87,145.26,160.45,162.15,116.36,0,119.99,117.9,-79.32,-2,117.78,117.9,117.96,116.3,162.04,155.81,160.27,155.81,152.81,152.73,162.15,-79.32,121.87
20240428,99.37,85.8,83.15,83.15,92.55,99.37,103.6,100.07,78.9,94.12,0,-79.32,-79.32,-39.62,99.76,100.4,100.69,114.14,161.92,117.74,162.25,124.36,103.63,121.53,162.25,-79.32,82.79
20240429,97.91,92.37,92.37,92.37,101.4,101.4,101.4,115.35,159.18,156.3,188.25,156.3,154.81,151.76,155.33,156.77,159.18,153.03,153.11,153.28,153.28,162.45,153.6,141.36,188.25,92.37,139.99
20240430,129.76,110.09,103.86,103.17,103.86,110.41,129.76,162.45,164.89,143.48,129.76,129.76,102.72,110.95,129.76,130.41,141,162.45,162.45,155.62,155.62,143.36,143.14,143.15,164.89,102.72,134.59
20240501,141.27,141.27,141.25,112.25,113.6,141.27,141.27,141.17,103.13,103.68,111.57,111.2,103.27,103.52,110,109.23,103.24,113.97,149.45,150.41,150.49,150.49,150.49,150.49,150.49,103.13,128.28
20240502,137.12,112.5,137.11,103.12,137.03,137.14,137.14,136.97,137.11,0,0,-79.06,-79.06,0,0,129.4,142.87,139.21,144.28,144.28,150.79,150.79,150.87,139.89,150.87,-79.06,103.07
20240503,137.55,137.57,137.57,123.81,125.86,137.61,137.57,137.46,137.65,138.45,0,-79.06,-79.06,-2,138.31,138.24,139.15,139.19,139.24,148.73,139.63,149.52,149.52,149.6,149.6,-79.06,113.81
20240504,147.77,147.77,147.77,147.77,147.77,147.77,147.77,147.53,105.2,0,0,0,0,0,0,0,145.59,150.82,150.98,139.16,151.7,151.7,151.7,138.92,151.7,0,107.69
20240505,114.43,95.32,93.05,91.03,91.15,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4,158.4,158.4,158.4,158.4,158.4,158.4,0,62.17
20240506,108.05,91.51,91.51,91.51,91.51,91.51,92.25,113.52,138.17,139.12,139.83,155.79,0,119.63,120.13,154.02,161.22,144.55,154.1,154.34,154.34,154.34,154.34,154.34,161.22,0,125.89
20240507,112.97,107.48,107.48,107.48,107.48,107.48,113.89,115.27,0,-77.94,-79.06,-79.06,-79.06,-79.06,141.45,0,0,140.89,140.89,144.08,140.89,138.49,138.49,138.32,144.08,-79.06,72.61
20240508,133.77,115.54,115.48,115.48,115.48,115.63,136.32,144.64,147.93,145.64,135.29,136.15,136.41,136.16,136.16,138.14,150.86,135.05,139.64,139.68,151.18,151.45,151.58,151.58,151.58,115.48,137.14
20240509,126.44,115.86,115.86,95.82,113.76,125.53,129.12,129.52,150.76,-77.94,-2,-79.06,-79.06,-77.94,138.36,0,132.82,153.86,156.42,156.42,156.42,151.53,151.53,151.53,156.42,-79.06,95.02
20240510,115.08,114.95,103.59,103.86,103.59,114.56,115.27,114.99,138.37,-79.06,-2,-79.06,-79.06,-79.06,0,-79.06,0,155.95,156.64,156.8,155.81,153.77,153.77,126.3,156.8,-79.06,77.91
20240511,115.85,98.58,91.92,90.32,96.22,115.64,140.33,0,0,0,113.42,0,0,0,0,0,0,115.23,157.92,158.08,158.16,158.16,115.89,158.08,158.16,0,80.67
20240512,95.89,83.24,82.72,82.72,91.71,95.89,100.77,98.28,82.72,91.2,118.07,114.65,112.58,0,-2,-17.57,-0.71,97.03,98.85,118.95,118.99,110.79,110.79,98.94,118.99,-17.57,83.79
20240513,97.18,89.24,83.22,82.66,83.22,91.31,104.06,0,-0.19,0,-77.94,-79.06,-79.06,-79.06,119.37,133.51,143.5,149.79,154.97,155.34,155.48,155.48,150.99,150.99,155.48,-79.06,81.28
20240514,115.08,102.53,91.52,91.52,99.62,115.36,115.08,114.71,139.03,-2,-77.94,-79.06,-79.06,-79.06,144.28,120.25,152.48,150.24,150.64,161.08,161.08,161.08,161.21,116.46,161.21,-79.06,95.91
20240515,110.8,105.11,93.04,91.41,105.11,105.11,93.27,85.46,91.02,106.98,-76.69,-77.48,-79.06,-77.94,0,0,0,0,114.27,0,0,114.27,114.27,107.3,114.27,-79.06,49.11
20240516,0,0,0,0,0,0,0,0,-77.48,-79.06,-79.06,-79.06,-79.06,-79.06,-79.06,-79.06,-2,159.48,133.45,135.81,135.57,130.03,124.65,113.6,159.48,-79.06,20.42
20240517,112.5,112.02,93.45,91.77,101.71,104.68,113.66,114.99,-2,-51.27,-79.06,-79.06,-79.06,132.84,-79.06,-0.07,0,138.94,137.22,137.22,139.23,137.22,139.15,137.22,139.23,-79.06,72.27
20240518,114.99,107.81,107.81,107.81,113.72,114.48,114.48,107.46,0,-76.69,0,-77.94,-79.06,-77.48,0,0,114.36,142.56,162.67,137.05,142.52,130.35,118.83,114.48,162.67,-79.06,75.4
20240519,109.5,92.52,92.55,92.59,119.61,92.58,94.74,92.11,92.11,-71.15,0,-79.06,-79.06,-77.48,113.8,0,110.8,139.8,141.78,140.64,138.41,134.66,114.27,105.28,141.78,-79.06,78.31
20240520,92.97,89.65,89.24,89.24,92.97,92.97,96.19,113.89,139.14,-2,0,-76.69,-77.48,0,-76.69,121.09,156.83,157.72,157.88,151.12,158.63,152.03,127.69,114.34,158.63,-77.48,87.58
20240521,114.71,114.71,99.14,91.74,95.28,102.03,114.62,113.6,140.42,-2,120.47,-77.48,-79.06,0,138.82,0,149.03,142.33,155.61,145.52,155.69,155.77,138.79,137.18,155.77,-79.06,99.07
20240522,114.62,114.71,98.97,95.11,95.11,101.86,114.46,113.6,138.72,142.52,137.4,142.23,0,135.68,142.54,137.06,140.63,141.57,141.98,149.1,155.83,155.61,155.61,155.61,155.83,0,127.22
20240523,114.62,110.53,101.88,94.98,94.98,101.64,101.73,114.43,113.38,155.05,-2,137.96,133.18,137.62,139.87,138.35,142.99,142.99,142.99,156.67,156.74,156.82,141.13,141.13,156.82,-2,125.19
20240524,114.71,98.49,92.04,91,90.76,92.51,99.21,101,0,0,-79.06,-79.06,-79.06,-79.06,-2,119.52,163.28,142.03,156.62,144.92,142.59,156.91,142.06,142.09,163.28,-79.06,79.58
20240525,112.35,97.74,91.73,91.73,91.73,92.19,92.19,92.49,101.86,0,-2,-79.06,-79.06,-79.06,0,110.02,110.09,104.6,113.51,116.81,118.2,118.67,113.89,116.54,118.67,-79.06,71.96
